excipient_names,unii,hpe_monograph,hpe_page,match_method,Emulsifying agent,Antimicrobial preservative,Tablet and capsule diluent,Tablet binder,Stabilizing agent,Solvent,Suspending agent,Coating agent,Viscosity-increasing agent,Emollient,Sweetening agent,Therapeutic agent,Solubilizing agent,Antioxidant,Buffering agent,Flavoring agent,Thickening agent,Plasticizer,Tablet and capsule lubricant,Adsorbent,Oleaginous vehicle,Alkalizing agent,Antiseptic,Disinfectant,Film-forming agent,Sustained-release agent,Wetting agent,Emulsion stabilizer,Humectant,Tablet and capsule disintegrant,Acidifying agent,Aerosol propellant,Skin penetrant,Stiffening agent,Controlled-release agent,Lubricant,Ointment base,Anticaking agent,Diluent,Dissolution enhancer,Gelling agent,Glidant,Sequestering agent,Tablet disintegrant,Dispersing agent,Flavor enhancer,Granulation aid,Opacifier,Tablet filler,Nonionic surfactant,Tonicity agent,Bioadhesive material,Chelating agent,Disintegrant,Tablet diluent,Acidulant,Biodegradable material,Extended-release agent,Mucoadhesive,Penetration agent,Release-modifying agent,Tablet and capsule filler,Anionic surfactant,Antifoaming agent,Cationic surfactant,Colorant,Complexing agent,Dietary supplement,Directly compressible tablet excipient,Dry powder inhaler carrier,Penetration enhancer,Suppository base,Surfactant,Taste-masking agent,Vaccine adjuvant,Water-absorbing agent,Air displacement,Alcohol denaturant,Astringent,Binding agent,Freeze-drying agent,Lyophilization aid,Modified-release agent,Thermal stabilizer,Water-repelling agent,Absorption enhancer,Antacid,Antiadherent,Bioabsorbable material,Biocompatibility enhancer,Biocompatible material,Bittering agent,Bulking agent,Color adjuvant,Color dispersant,Compression aid,Confectionery base,Cooling agent,Cosolvent,Crosslinking agent,Desiccant,Detergent,Diagnostic aid,Encapsulating agent,Enteric coating agent,Esterifying agent,Fecal softener,Foam stabilizer,Foaming agent,Food additive,Gel base,Matrix-forming agent,Medicated confectionary base,Membrane-forming agent,Organic base,Osmotic agent,Pigment,Polishing agent,Preservative,Rheology modifier,Solubility enhancing agent,Sucrose crystallization modifier,Tablet lubricant,Transdermal delivery component,Viscosity-controlling agent,Water-miscible cosolvent
"CARRAGEENAN, carrageenan",5C69YCD2YJ,Carrageenan,122.0,exact,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
"POLYETHYLENE GLYCOL 2000000, POLYETHYLENE OXIDE 2000000, Polyethylene Glycol 2000000",5K3991GVWI,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCRYSTALLINE CELLULOSE 105,KO5GYV0DCB,"Cellulose, Microcrystalline",129.0,grade_stripped,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 20000,5WKN5KL2O8,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERT-BUTYL ALCOHOL,MD83SFE959,Alcohol,17.0,NOT in HPE,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMMONIUM PHOSPHATE, DIBASIC",10LGE70FSU,"Calcium Phosphate, Dibasic Anhydrous",94.0,NOT in HPE,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNESIUM SILICATE,9B9691B2N9,Magnesium Silicate,402.0,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 2000,HAF0412YIT,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPROMELLOSE ACETATE SUCCINATE 16070722 (3 MM2/S),24P2YXD2PW,Hypromellose Acetate Succinate,330.0,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
POLY(METHYL ACRYLATE-CO-METHYL METHACRYLATE-CO-METHACRYLIC ACID 7:3:1; 280000 MW),99Q3C7L77T,Poly (DL-Lactic Acid),515.0,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYETHYLENE GLYCOL 1500, POLYETHYLENE GLYCOL 1600",1212Z7S33A,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACESULFAME,MA3UYZ6K1H,Acesulfame Potassium,3.0,exact,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHYLCELLULOSE AQUEOUS DISPERSION TYPE B,HZJ2V81RYU,Ethylcellulose,262.0,grade_stripped,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCERYL BEHENATE/EICOSADIOATE,73CJJ317SR,Glyceryl Behenate,286.0,exact,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROXYPROPYL CELLULOSE (160000 WAMW),0A7M0N7SPE,Hydroxypropyl Cellulose,317.0,grade_stripped,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG-40 CASTOR OIL, POLYOXYL 40 CASTOR OIL",4ERD2076EF,Castor Oil,126.0,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACCHARIN SODIUM MONOHYDRATE,A9CO00M9HV,Saccharin sodium,608.0,NOT in HPE,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCERYL PALMITOSTEARATE,GSY51O183C,Glyceryl Palmitostearate,293.0,exact,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SODIUM PHOSPHATE, MONOBASIC, UNSPECIFIED FORM",3980JIH2SW,"Sodium Phosphate,monobasic",659.0,fuzzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (11% HYDROXYPROPYL; 120000 MW),NZ94SDL6WR,"Hydroxypropyl Cellulose, Low-substituted",322.0,grade_stripped,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCERYL MONOOLEATE,C4YAD5F5G6,Glyceryl Monooleate,288.0,exact,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CETOSTEARYL ALCOHOL, cetostearyl alcohol",2DMT128M1S,Cetostearyl Alcohol,150.0,exact,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM PHOSPHATE,SE337SVY37,"Sodium Phosphate, Dibasic",656.0,Exact,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACCHARIN SODIUM ANHYDROUS,I4807BK602,Saccharin Sodium,608.0,NOT in HPE,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNESIUM ALUMINUM SILICATE TYPE IIA,II0CAA4909,Magnesium Aluminum Silicate,393.0,grade_stripped,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.ALPHA.-TOCOPHEROL ACETATE,9E8X80D2L0,Alpha Tocopherol,31.0,NOT in HPE,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sodium Phosphate, Monobasic, Anhydrous",KH7I04HPUU,"Sodium Phosphate, Monobasic",659.0,Exact,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM ACETATE ANHYDROUS,NVG71ZZ7P0,Sodium Acetate,620.0,Exact,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBOMER HOMOPOLYMER TYPE C (ALLYL PENTAERYTHRITOL CROSSLINKED),4Q93RCW27E,Carbomer,110.0,Exact,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
CORN,0N8672707O,Corn Oil,199.0,NOT in HPE,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYPROMELLOSE ACETATE SUCCINATE, UNSPECIFIED",A7ZHS2RJ34,Hypromellose Acetate Succinate,330.0,exact,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
potassium citrate,EE90ONI6FF,Potassium Citrate,574.0,exact,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEXTROSE MONOHYDRATE,LX22YL083G,Dextrose,222.0,Exact,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLCELLULOSE (4000 MPA.S),MRJ667KA5E,Methylcellulose,438.0,grade_stripped,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLCELLULOSE (1500 MPA.S),P0NTE48364,Methylcellulose,438.0,grade_stripped,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARRAGEENAN SODIUM, carrageenan sodium",7CY8BVL34N,Carrageenan,122.0,Exact,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Ethyl Maltol,L6Q8K29L05,Ethyl Maltol,257.0,exact,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORN STARCH 3-E-DODECENYL SUCCINIC ANHYDRIDE MODIFIED,QG4MW19XYX,Starch,685.0,NOT in HPE,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CROSPOVIDONE (19 MPA.S AT 5%), CROSPOVIDONE (20 .MU.M)",6B46OH7T95,Crospovidone,208.0,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SODIUM PHOSPHATE, MONOBASIC, DIHYDRATE",5QWK665956,"Sodium Phosphate, Monobasic",659.0,Exact,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPROMELLOSE 2208 (200000 MPA.S),LJY3MA129D,Hypromellose,326.0,grade_stripped,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
CARBOXYMETHYLCELLULOSE SODIUM (0.7 CARBOXYMETHYL SUBSTITUTION PER SACCHARIDE; 400 MPA.S AT 1%),FC40A8XAJ3,Carboxymethylcellulose Sodium,118.0,grade_stripped,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHYLCELLULOSE AQUEOUS DISPERSION TYPE A,MX37N1DUF3,Ethylcellulose,262.0,exact,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROGENATED SOYBEAN LECITHIN,H1109Z9J4N,Lecithin,385.0,NOT in HPE,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULFUR DIOXIDE,0UZA3422Q4,Sulfur Dioxide,718.0,exact,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE OXIDE 1000000,HZ58M6D839,Polyethylene Oxide,522.0,grade_stripped,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORN OIL PEG-6 ESTERS,1U4409FY0P,Corn Oil,199.0,Exact,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROXYPROPYL CELLULOSE (430000 WAMW),VQ8ZWO78F6,Hydroxypropyl Cellulose,317.0,grade_stripped,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUMINUM SILICATE,T1FAD4SS2M,Magnesium Aluminum Silicate,393.0,Exact,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GELATIN TYPE B BOVINE (200 BLOOM), Gelatin Type B Bovine (200 Bloom)",A7JR5F8DLH,Gelatin,278.0,Exact,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SODIUM PHOSPHATE, TRIBASIC, ANHYDROUS",SX01TZO3QZ,"Sodium Phosphate, Dibasic",656.0,Exact,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNFLOWER OIL MONO/DIGLYCERIDES,HS7EB0C1ZH,Sunflower Oil,721.0,Exact,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleic acid,91XW058U2C,Maleic Acid,410.0,exact,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 100000,V46Y6OJ5QB,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEARYL ALCOHOL,2KR89I4H1Y,Stearyl Alcohol,700.0,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROXYPROPYL BETADEX,1I96OHX6EK,Hydroxypropyl Betadex,315.0,exact,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COCONUT OIL, coconut oil",Q9L0O73W7L,Coconut Oil,184.0,exact,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM ASCORBATE,S033EH8359,Sodium Ascorbate,625.0,exact,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propylene glycol alginate,26CD3J2R0C,Propylene Glycol Alginate,594.0,exact,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
EGG PHOSPHOLIPIDS,1Z74184RGV,Phospholipids,499.0,Exact,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
GELATIN TYPE B BOVINE (160 BLOOM),1T8387508X,Gelatin,278.0,Exact,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLOXAMER 124,1S66E28KXA,Poloxamer,506.0,grade_stripped,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
SILICON,Z4152N8IUI,Colloidal Silicon Dioxide,185.0,NOT in HPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 800,UH6KR4953D,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULFURIC ACID,O40UQP6WCF,Sulfuric Acid,719.0,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHYL VANILLIN,YC9ST449YJ,Ethyl Vanillin,261.0,exact,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM PROPIONATE ANHYDROUS,391O0PO49R,Sodium Propionate,661.0,Exact,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
